YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3
2002,7,4,77.05,28.590999999999998,-1.0,0.862,0.28
2002,7,8,77.05,28.590999999999998,-1.0,1.16,0.042
2002,7,9,77.05,28.590999999999998,-1.0,1.504,0.081
2002,7,13,77.05,28.590999999999998,-1.0,0.945,0.215
2002,7,14,77.05,28.590999999999998,-1.0,0.6829999999999999,-1.0
2002,7,15,77.05,28.590999999999998,-1.0,0.746,0.001
2002,7,21,77.05,28.590999999999998,-1.0,0.5379999999999999,-1.0
2002,8,17,77.05,28.590999999999998,1.89,1.785,0.096
2002,8,19,77.05,28.590999999999998,1.64,1.58,0.08800000000000001
2002,8,21,77.05,28.590999999999998,1.66,1.681,0.336
2002,9,15,77.05,28.590999999999998,-1.0,0.847,-1.0
2002,9,17,77.05,28.590999999999998,-1.0,0.696,0.022000000000000002
2002,9,18,77.05,28.590999999999998,1.03,1.062,0.126
2002,9,20,77.05,28.590999999999998,0.27,0.35700000000000004,0.09
2002,9,21,77.05,28.590999999999998,-1.0,0.264,0.025
2002,9,24,77.05,28.590999999999998,0.3,0.324,0.052000000000000005
2002,9,25,77.05,28.590999999999998,-1.0,0.539,0.091
2002,9,26,77.05,28.590999999999998,0.34,0.33799999999999997,0.005
2002,9,27,77.05,28.590999999999998,0.34,0.327,0.026000000000000002
2002,9,28,77.05,28.590999999999998,-1.0,0.7290000000000001,0.054000000000000006
2002,9,29,77.05,28.590999999999998,-1.0,0.449,0.096
2002,9,30,77.05,28.590999999999998,0.39,0.401,0.023
2002,10,1,77.05,28.590999999999998,-1.0,0.271,0.044000000000000004
2002,10,2,77.05,28.590999999999998,-1.0,0.209,0.040999999999999995
2002,10,3,77.05,28.590999999999998,-1.0,0.35700000000000004,0.013000000000000001
2002,10,4,77.05,28.590999999999998,0.2,0.26,0.08199999999999999
2002,10,5,77.05,28.590999999999998,-1.0,0.267,0.047
2002,10,6,77.05,28.590999999999998,-1.0,0.28,0.121
2002,10,7,77.05,28.590999999999998,-1.0,0.623,0.11800000000000001
2002,10,8,77.05,28.590999999999998,0.4,0.513,0.105
2002,10,9,77.05,28.590999999999998,0.31,0.386,0.096
2002,10,11,77.05,28.590999999999998,0.49,0.5670000000000001,0.08
2002,10,12,77.05,28.590999999999998,0.78,0.735,0.079
2002,10,13,77.05,28.590999999999998,0.21,0.24100000000000002,0.039
2002,10,14,77.05,28.590999999999998,-1.0,0.527,0.113
2002,10,18,77.05,28.590999999999998,-1.0,1.22,0.45
2002,10,19,77.05,28.590999999999998,-1.0,1.092,-1.0
2002,10,20,77.05,28.590999999999998,0.42,0.48100000000000004,0.102
2002,10,21,77.05,28.590999999999998,-1.0,0.8340000000000001,0.013000000000000001
2002,10,22,77.05,28.590999999999998,1.21,1.301,0.182
2002,10,23,77.05,28.590999999999998,-1.0,0.273,0.013999999999999999
2002,10,24,77.05,28.590999999999998,0.68,0.6759999999999999,0.11800000000000001
2002,10,25,77.05,28.590999999999998,-1.0,0.34299999999999997,0.027999999999999997
2002,10,26,77.05,28.590999999999998,-1.0,0.475,0.013999999999999999
2002,10,27,77.05,28.590999999999998,0.54,0.768,0.19899999999999998
2002,10,28,77.05,28.590999999999998,-1.0,0.828,-1.0
2002,10,29,77.05,28.590999999999998,0.39,0.44,0.062
2002,10,30,77.05,28.590999999999998,0.69,0.716,0.027999999999999997
2002,10,31,77.05,28.590999999999998,0.66,0.7759999999999999,0.109
2002,11,1,77.05,28.590999999999998,-1.0,0.657,0.042
2002,11,2,77.05,28.590999999999998,0.82,0.8420000000000001,0.13699999999999998
2002,11,3,77.05,28.590999999999998,-1.0,0.711,0.17300000000000001
2002,11,5,77.05,28.590999999999998,0.58,0.627,0.09300000000000001
2002,11,7,77.05,28.590999999999998,0.88,0.857,0.156
2002,11,8,77.05,28.590999999999998,-1.0,0.716,0.02
2002,11,10,77.05,28.590999999999998,-1.0,0.413,0.037000000000000005
2002,11,11,77.05,28.590999999999998,-1.0,0.584,0.036000000000000004
2002,11,13,77.05,28.590999999999998,-1.0,0.6779999999999999,0.013000000000000001
2002,11,14,77.05,28.590999999999998,0.29,0.278,0.04
2002,11,16,77.05,28.590999999999998,0.26,0.251,0.040999999999999995
2002,11,17,77.05,28.590999999999998,0.24,0.257,0.011000000000000001
2002,11,18,77.05,28.590999999999998,0.33,0.302,0.039
2002,11,19,77.05,28.590999999999998,0.12,0.16,0.05
2002,11,20,77.05,28.590999999999998,-1.0,0.502,-1.0
2002,11,21,77.05,28.590999999999998,0.33,0.319,0.055
2002,11,22,77.05,28.590999999999998,-1.0,0.433,0.018000000000000002
2002,11,23,77.05,28.590999999999998,-1.0,0.264,0.083
2002,11,25,77.05,28.590999999999998,0.21,0.196,0.040999999999999995
2002,11,26,77.05,28.590999999999998,0.19,0.201,0.035
2002,11,27,77.05,28.590999999999998,-1.0,0.303,0.013000000000000001
2002,11,28,77.05,28.590999999999998,0.36,0.337,0.11
2002,11,29,77.05,28.590999999999998,0.46,0.445,0.013000000000000001
2002,11,30,77.05,28.590999999999998,0.27,0.321,0.036000000000000004
2002,12,1,77.05,28.590999999999998,0.47,0.466,0.013999999999999999
2002,12,2,77.05,28.590999999999998,-1.0,0.419,0.125
2002,12,3,77.05,28.590999999999998,0.27,0.425,0.129
2002,12,5,77.05,28.590999999999998,-1.0,0.41,0.061
2002,12,7,77.05,28.590999999999998,0.47,0.584,0.151
2002,12,8,77.05,28.590999999999998,-1.0,0.59,0.022000000000000002
2002,12,9,77.05,28.590999999999998,0.19,0.22899999999999998,0.068
2002,12,10,77.05,28.590999999999998,-1.0,0.24,0.016
2002,12,11,77.05,28.590999999999998,-1.0,0.625,0.038
2002,12,12,77.05,28.590999999999998,-1.0,0.52,0.066
2002,12,13,77.05,28.590999999999998,-1.0,0.603,0.048
2002,12,14,77.05,28.590999999999998,0.35,0.38799999999999996,0.14
2002,12,15,77.05,28.590999999999998,0.54,0.525,0.048
2002,12,16,77.05,28.590999999999998,0.46,0.424,0.128
2002,12,18,77.05,28.590999999999998,-1.0,0.341,0.08900000000000001
2002,12,19,77.05,28.590999999999998,0.63,0.752,0.213
2002,12,20,77.05,28.590999999999998,-1.0,0.852,0.057
2002,12,21,77.05,28.590999999999998,-1.0,0.225,0.053
2002,12,22,77.05,28.590999999999998,-1.0,0.28600000000000003,0.01
2002,12,25,77.05,28.590999999999998,0.49,0.628,0.218
2002,12,28,77.05,28.590999999999998,0.33,0.345,0.09300000000000001
