YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3
2000,6,5,77.05,28.590999999999998,-1.0,0.575,0.147
2000,6,11,77.05,28.590999999999998,1.93,1.6740000000000002,0.306
2000,6,12,77.05,28.590999999999998,-1.0,0.7709999999999999,0.136
2000,6,13,77.05,28.590999999999998,-1.0,0.764,0.18
2000,6,14,77.05,28.590999999999998,-1.0,1.507,0.099
2000,6,16,77.05,28.590999999999998,-1.0,2.0180000000000002,0.354
2000,6,18,77.05,28.590999999999998,1.5,1.412,0.17600000000000002
2000,6,21,77.05,28.590999999999998,-1.0,0.623,0.078
2000,6,22,77.05,28.590999999999998,-1.0,0.732,0.201
2000,6,26,77.05,28.590999999999998,-1.0,2.06,-1.0
2000,6,27,77.05,28.590999999999998,-1.0,2.302,0.401
2000,6,29,77.05,28.590999999999998,-1.0,1.67,-1.0
2000,7,5,77.05,28.590999999999998,-1.0,0.452,-1.0
2000,7,6,77.05,28.590999999999998,-1.0,0.6459999999999999,0.043
2000,7,28,77.05,28.590999999999998,-1.0,0.978,-1.0
2000,8,2,77.05,28.590999999999998,-1.0,1.2590000000000001,0.081
2000,8,3,77.05,28.590999999999998,1.23,1.304,0.08199999999999999
2000,8,4,77.05,28.590999999999998,-1.0,0.84,0.027999999999999997
2000,8,5,77.05,28.590999999999998,-1.0,0.598,0.149
2000,8,30,77.05,28.590999999999998,-1.0,0.742,-1.0
2000,8,31,77.05,28.590999999999998,-1.0,0.7959999999999999,0.039
2000,9,2,77.05,28.590999999999998,-1.0,0.513,0.07400000000000001
2000,9,4,77.05,28.590999999999998,0.3,0.27899999999999997,0.04
2000,9,8,77.05,28.590999999999998,-1.0,0.628,0.095
2000,9,9,77.05,28.590999999999998,-1.0,0.581,0.024
2000,9,10,77.05,28.590999999999998,0.55,0.565,0.044000000000000004
2000,9,11,77.05,28.590999999999998,0.4,0.434,0.055
2000,9,12,77.05,28.590999999999998,-1.0,0.5760000000000001,0.036000000000000004
2000,9,13,77.05,28.590999999999998,0.39,0.374,0.078
2000,9,14,77.05,28.590999999999998,-1.0,0.638,-1.0
2000,9,16,77.05,28.590999999999998,-1.0,0.414,0.015
2000,9,17,77.05,28.590999999999998,0.1,0.162,0.081
2000,9,19,77.05,28.590999999999998,-1.0,0.312,0.005
2000,9,20,77.05,28.590999999999998,-1.0,0.815,0.214
2000,9,23,77.05,28.590999999999998,-1.0,0.536,0.025
2000,9,24,77.05,28.590999999999998,0.56,0.665,0.10099999999999999
2000,9,25,77.05,28.590999999999998,0.52,0.569,0.098
2000,9,27,77.05,28.590999999999998,0.31,0.363,0.129
2000,9,28,77.05,28.590999999999998,-1.0,0.449,-1.0
2000,9,29,77.05,28.590999999999998,0.22,0.32,0.096
2000,10,1,77.05,28.590999999999998,0.27,0.344,0.08
2000,10,2,77.05,28.590999999999998,-1.0,0.529,0.127
2000,10,3,77.05,28.590999999999998,-1.0,0.642,0.096
2000,10,4,77.05,28.590999999999998,-1.0,0.9109999999999999,0.187
2000,10,5,77.05,28.590999999999998,-1.0,0.7979999999999999,0.027999999999999997
2000,10,6,77.05,28.590999999999998,0.65,0.7659999999999999,0.077
2000,10,8,77.05,28.590999999999998,0.74,0.86,0.11
2000,10,9,77.05,28.590999999999998,-1.0,1.14,-1.0
2000,10,10,77.05,28.590999999999998,-1.0,0.6809999999999999,0.16899999999999998
2000,10,11,77.05,28.590999999999998,-1.0,1.271,0.136
2000,10,12,77.05,28.590999999999998,-1.0,0.953,0.32799999999999996
2000,10,13,77.05,28.590999999999998,0.23,0.266,0.05
2000,10,14,77.05,28.590999999999998,-1.0,0.406,-1.0
2000,10,15,77.05,28.590999999999998,0.27,0.251,0.066
2000,10,16,77.05,28.590999999999998,-1.0,0.45,-1.0
2000,10,17,77.05,28.590999999999998,0.36,0.345,0.131
2000,10,18,77.05,28.590999999999998,-1.0,1.182,0.122
2000,10,19,77.05,28.590999999999998,-1.0,1.0979999999999999,0.08800000000000001
2000,10,20,77.05,28.590999999999998,-1.0,0.33399999999999996,0.086
2000,10,21,77.05,28.590999999999998,-1.0,0.995,0.027000000000000003
2000,10,22,77.05,28.590999999999998,-1.0,0.762,0.26899999999999996
2000,10,24,77.05,28.590999999999998,0.08,0.20600000000000002,0.10300000000000001
2000,10,25,77.05,28.590999999999998,-1.0,1.111,-1.0
2000,10,26,77.05,28.590999999999998,-1.0,0.5429999999999999,0.125
2000,10,28,77.05,28.590999999999998,-1.0,0.816,0.040999999999999995
2000,10,29,77.05,28.590999999999998,0.6,0.758,0.162
2000,10,30,77.05,28.590999999999998,-1.0,0.461,0.054000000000000006
2000,10,31,77.05,28.590999999999998,0.32,0.276,0.124
2000,11,1,77.05,28.590999999999998,0.73,0.737,0.036000000000000004
2000,11,2,77.05,28.590999999999998,0.74,0.877,0.12
2000,11,3,77.05,28.590999999999998,-1.0,0.851,0.055
2000,11,4,77.05,28.590999999999998,0.95,0.937,0.061
2000,11,5,77.05,28.590999999999998,0.94,0.841,0.11199999999999999
2000,11,6,77.05,28.590999999999998,0.46,0.474,0.040999999999999995
2000,11,7,77.05,28.590999999999998,0.23,0.29,0.083
2000,11,9,77.05,28.590999999999998,0.22,0.295,0.08
2000,11,10,77.05,28.590999999999998,-1.0,0.275,0.006
2000,11,11,77.05,28.590999999999998,0.16,0.209,0.068
2000,11,12,77.05,28.590999999999998,-1.0,0.37200000000000005,0.066
2000,11,13,77.05,28.590999999999998,-1.0,0.44,0.013999999999999999
2000,11,14,77.05,28.590999999999998,-1.0,0.298,0.081
2000,11,15,77.05,28.590999999999998,-1.0,0.276,0.017
2000,11,16,77.05,28.590999999999998,0.31,0.327,0.084
2000,11,17,77.05,28.590999999999998,-1.0,0.539,-1.0
2000,11,18,77.05,28.590999999999998,0.41,0.415,0.040999999999999995
2000,11,19,77.05,28.590999999999998,-1.0,0.9990000000000001,0.019
2000,11,20,77.05,28.590999999999998,-1.0,0.41,0.079
2000,11,21,77.05,28.590999999999998,-1.0,0.81,0.02
2000,11,22,77.05,28.590999999999998,0.77,0.768,0.052000000000000005
2000,11,23,77.05,28.590999999999998,0.96,0.973,0.17600000000000002
2000,11,25,77.05,28.590999999999998,0.14,0.17300000000000001,0.028999999999999998
2000,11,26,77.05,28.590999999999998,-1.0,0.316,-1.0
2000,11,28,77.05,28.590999999999998,-1.0,0.431,0.042
2000,11,29,77.05,28.590999999999998,0.24,0.263,0.023
2000,11,30,77.05,28.590999999999998,0.18,0.207,0.040999999999999995
2000,12,1,77.05,28.590999999999998,0.29,0.282,0.011000000000000001
2000,12,2,77.05,28.590999999999998,0.07,0.157,0.044000000000000004
